Column1,EORA_a3,Country,Year,CODE,SHORTNAME,GROUP,META_ID,name,Global.Region,Continent
2011,LVA,Latvia,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,125,Latvia,Other Europe,Europe
2012,LVA,Latvia,2016,3,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,125,Latvia,Other Europe,Europe
2013,LVA,Latvia,2016,4,IPC,Prevention,125,Latvia,Other Europe,Europe
2014,LVA,Latvia,2016,3,AMU Prevention,Prevention,125,Latvia,Other Europe,Europe
2019,LVA,Latvia,2016,0,AMS and Regulation (Human),Regulation,125,Latvia,Other Europe,Europe
2020,LVA,Latvia,2016,4,AMS and Regulation (Ani&Crop),Regulation,125,Latvia,Other Europe,Europe
2023,LVA,Latvia,2016,3,Contamination Prevention,Regulation,125,Latvia,Other Europe,Europe
2026,MAR,Morocco,2016,4,AMR Training (Animal Health and Food Prod),Awareness and Education,152,Morocco,Africa,Africa
2027,MAR,Morocco,2016,1,One Health Arrangements,General,152,Morocco,Africa,Africa
2028,MAR,Morocco,2016,2,NAP progress,General,152,Morocco,Africa,Africa
2029,MAR,Morocco,2016,0,NAP published,General,152,Morocco,Africa,Africa
2030,MAR,Morocco,2016,3,AMR Awareness (Human Health),Awareness and Education,152,Morocco,Africa,Africa
2031,MAR,Morocco,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,152,Morocco,Africa,Africa
2032,MAR,Morocco,2016,3,AMR Training (Human Health),Awareness and Education,152,Morocco,Africa,Africa
2038,MAR,Morocco,2016,4,Veterinary Services,General,152,Morocco,Africa,Africa
2039,MAR,Morocco,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,152,Morocco,Africa,Africa
2040,MAR,Morocco,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,152,Morocco,Africa,Africa
2041,MAR,Morocco,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,152,Morocco,Africa,Africa
2042,MAR,Morocco,2016,2,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,152,Morocco,Africa,Africa
2043,MAR,Morocco,2016,2,IPC,Prevention,152,Morocco,Africa,Africa
2044,MAR,Morocco,2016,3,AMU Prevention,Prevention,152,Morocco,Africa,Africa
2049,MAR,Morocco,2016,1,AMS and Regulation (Human),Regulation,152,Morocco,Africa,Africa
2051,MCO,Monaco,2016,0,NAP progress,General,148,Monaco,Western Europe,Europe
2052,MCO,Monaco,2016,3,One Health Arrangements,General,148,Monaco,Western Europe,Europe
2055,MCO,Monaco,2016,0,NAP published,General,148,Monaco,Western Europe,Europe
2056,MCO,Monaco,2016,4,AMR Awareness (Human Health),Awareness and Education,148,Monaco,Western Europe,Europe
2058,MCO,Monaco,2016,3,AMR Training (Human Health),Awareness and Education,148,Monaco,Western Europe,Europe
2061,MCO,Monaco,2016,3,Monitoring System for AMU (Human Health),Monitoring and Surveillance,148,Monaco,Western Europe,Europe
2063,MCO,Monaco,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,148,Monaco,Western Europe,Europe
2064,MCO,Monaco,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,148,Monaco,Western Europe,Europe
2065,MCO,Monaco,2016,4,IPC,Prevention,148,Monaco,Western Europe,Europe
2071,MCO,Monaco,2016,1,AMS and Regulation (Human),Regulation,148,Monaco,Western Europe,Europe
2075,MCO,Monaco,2016,1,Contamination Prevention,Regulation,148,Monaco,Western Europe,Europe
2076,MDA,Republic of Moldova,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,147,Moldova,Other Europe,Europe
2077,MDA,Republic of Moldova,2016,1,One Health Arrangements,General,147,Moldova,Other Europe,Europe
2078,MDA,Republic of Moldova,2016,2,NAP progress,General,147,Moldova,Other Europe,Europe
2079,MDA,Republic of Moldova,2016,0,NAP published,General,147,Moldova,Other Europe,Europe
2080,MDA,Republic of Moldova,2016,3,AMR Awareness (Human Health),Awareness and Education,147,Moldova,Other Europe,Europe
2081,MDA,Republic of Moldova,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,147,Moldova,Other Europe,Europe
2082,MDA,Republic of Moldova,2016,3,AMR Training (Human Health),Awareness and Education,147,Moldova,Other Europe,Europe
2083,MDA,Republic of Moldova,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,147,Moldova,Other Europe,Europe
2084,MDA,Republic of Moldova,2016,0,Veterinary Services,General,147,Moldova,Other Europe,Europe
2085,MDA,Republic of Moldova,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,147,Moldova,Other Europe,Europe
2087,MDA,Republic of Moldova,2016,1,AMS and Regulation (Human),Regulation,147,Moldova,Other Europe,Europe
2088,MDA,Republic of Moldova,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,147,Moldova,Other Europe,Europe
2089,MDA,Republic of Moldova,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,147,Moldova,Other Europe,Europe
2090,MDA,Republic of Moldova,2016,2,IPC,Prevention,147,Moldova,Other Europe,Europe
2099,MDA,Republic of Moldova,2016,1,AMS and Regulation (Ani&Crop),Regulation,147,Moldova,Other Europe,Europe
2100,MDA,Republic of Moldova,2016,0,Contamination Prevention,Regulation,147,Moldova,Other Europe,Europe
2105,MDV,Maldives,2016,1,One Health Arrangements,General,137,Maldives,Asia-Pacific,Asia
2106,MDV,Maldives,2016,2,NAP progress,General,137,Maldives,Asia-Pacific,Asia
2107,MDV,Maldives,2016,0,NAP published,General,137,Maldives,Asia-Pacific,Asia
2112,MDV,Maldives,2016,0,AMS and Regulation (Human),Regulation,137,Maldives,Asia-Pacific,Asia
2113,MDV,Maldives,2016,0,AMS and Regulation (Ani&Crop),Regulation,137,Maldives,Asia-Pacific,Asia
2114,MDV,Maldives,2016,0,Contamination Prevention,Regulation,137,Maldives,Asia-Pacific,Asia
2115,MDV,Maldives,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,137,Maldives,Asia-Pacific,Asia
2116,MDV,Maldives,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,137,Maldives,Asia-Pacific,Asia
2117,MDV,Maldives,2016,1,IPC,Prevention,137,Maldives,Asia-Pacific,Asia
2118,MDV,Maldives,2016,0,AMU Prevention,Prevention,137,Maldives,Asia-Pacific,Asia
2120,MDV,Maldives,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,137,Maldives,Asia-Pacific,Asia
2121,MDV,Maldives,2016,1,AMR Awareness (Human Health),Awareness and Education,137,Maldives,Asia-Pacific,Asia
2122,MDV,Maldives,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,137,Maldives,Asia-Pacific,Asia
2123,MDV,Maldives,2016,0,AMR Training (Human Health),Awareness and Education,137,Maldives,Asia-Pacific,Asia
2124,MDV,Maldives,2016,0,Veterinary Services,General,137,Maldives,Asia-Pacific,Asia
2125,MDV,Maldives,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,137,Maldives,Asia-Pacific,Asia
2126,MDV,Maldives,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,137,Maldives,Asia-Pacific,Asia
2127,MEX,Mexico,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,145,Mexico,North America,North America and Caribbean
2128,MEX,Mexico,2016,1,One Health Arrangements,General,145,Mexico,North America,North America and Caribbean
2129,MEX,Mexico,2016,2,NAP progress,General,145,Mexico,North America,North America and Caribbean
2130,MEX,Mexico,2016,0,NAP published,General,145,Mexico,North America,North America and Caribbean
2131,MEX,Mexico,2016,3,AMR Awareness (Human Health),Awareness and Education,145,Mexico,North America,North America and Caribbean
2132,MEX,Mexico,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,145,Mexico,North America,North America and Caribbean
2133,MEX,Mexico,2016,1,AMR Training (Human Health),Awareness and Education,145,Mexico,North America,North America and Caribbean
2134,MEX,Mexico,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,145,Mexico,North America,North America and Caribbean
2135,MEX,Mexico,2016,3,Veterinary Services,General,145,Mexico,North America,North America and Caribbean
2136,MEX,Mexico,2016,3,Monitoring System for AMU (Human Health),Monitoring and Surveillance,145,Mexico,North America,North America and Caribbean
2137,MEX,Mexico,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,145,Mexico,North America,North America and Caribbean
2139,MEX,Mexico,2016,4,AMS and Regulation (Human),Regulation,145,Mexico,North America,North America and Caribbean
2140,MEX,Mexico,2016,3,AMS and Regulation (Ani&Crop),Regulation,145,Mexico,North America,North America and Caribbean
2141,MEX,Mexico,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,145,Mexico,North America,North America and Caribbean
2142,MEX,Mexico,2016,4,IPC,Prevention,145,Mexico,North America,North America and Caribbean
2143,MEX,Mexico,2016,2,AMU Prevention,Prevention,145,Mexico,North America,North America and Caribbean
2151,MEX,Mexico,2016,2,Contamination Prevention,Regulation,145,Mexico,North America,North America and Caribbean
2153,MHL,Marshall Islands,2016,0,Veterinary Services,General,140,Marshall Islands,Asia-Pacific,Asia
2161,MHL,Marshall Islands,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,140,Marshall Islands,Asia-Pacific,Asia
2162,MHL,Marshall Islands,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,140,Marshall Islands,Asia-Pacific,Asia
2163,MHL,Marshall Islands,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,140,Marshall Islands,Asia-Pacific,Asia
2164,MHL,Marshall Islands,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,140,Marshall Islands,Asia-Pacific,Asia
2165,MHL,Marshall Islands,2016,1,IPC,Prevention,140,Marshall Islands,Asia-Pacific,Asia
2166,MHL,Marshall Islands,2016,0,AMU Prevention,Prevention,140,Marshall Islands,Asia-Pacific,Asia
2167,MHL,Marshall Islands,2016,0,One Health Arrangements,General,140,Marshall Islands,Asia-Pacific,Asia
2168,MHL,Marshall Islands,2016,1,NAP progress,General,140,Marshall Islands,Asia-Pacific,Asia
2169,MHL,Marshall Islands,2016,0,NAP published,General,140,Marshall Islands,Asia-Pacific,Asia
2170,MHL,Marshall Islands,2016,3,AMR Awareness (Human Health),Awareness and Education,140,Marshall Islands,Asia-Pacific,Asia
2171,MHL,Marshall Islands,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,140,Marshall Islands,Asia-Pacific,Asia
2172,MHL,Marshall Islands,2016,0,AMR Training (Human Health),Awareness and Education,140,Marshall Islands,Asia-Pacific,Asia
2177,MKD,The former Yugoslav Republic of Macedonia,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,228,TFYR Macedonia,Other Europe,Europe
2187,MKD,The former Yugoslav Republic of Macedonia,2016,0,AMS and Regulation (Human),Regulation,228,TFYR Macedonia,Other Europe,Europe
2189,MKD,The former Yugoslav Republic of Macedonia,2016,0,Contamination Prevention,Regulation,228,TFYR Macedonia,Other Europe,Europe
2190,MKD,The former Yugoslav Republic of Macedonia,2016,3,IPC,Prevention,228,TFYR Macedonia,Other Europe,Europe
2192,MKD,The former Yugoslav Republic of Macedonia,2016,1,One Health Arrangements,General,228,TFYR Macedonia,Other Europe,Europe
2193,MKD,The former Yugoslav Republic of Macedonia,2016,2,NAP progress,General,228,TFYR Macedonia,Other Europe,Europe
2194,MKD,The former Yugoslav Republic of Macedonia,2016,1,NAP published,General,228,TFYR Macedonia,Other Europe,Europe
2195,MKD,The former Yugoslav Republic of Macedonia,2016,2,AMR Awareness (Human Health),Awareness and Education,228,TFYR Macedonia,Other Europe,Europe
2196,MKD,The former Yugoslav Republic of Macedonia,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,228,TFYR Macedonia,Other Europe,Europe
2197,MKD,The former Yugoslav Republic of Macedonia,2016,3,AMR Training (Human Health),Awareness and Education,228,TFYR Macedonia,Other Europe,Europe
2199,MKD,The former Yugoslav Republic of Macedonia,2016,2,Veterinary Services,General,228,TFYR Macedonia,Other Europe,Europe
2200,MKD,The former Yugoslav Republic of Macedonia,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,228,TFYR Macedonia,Other Europe,Europe
2203,MLT,Malta,2016,3,AMR Training (Human Health),Awareness and Education,139,Malta,Other Europe,Europe
2204,MLT,Malta,2016,1,One Health Arrangements,General,139,Malta,Other Europe,Europe
2205,MLT,Malta,2016,2,NAP progress,General,139,Malta,Other Europe,Europe
2206,MLT,Malta,2016,0,NAP published,General,139,Malta,Other Europe,Europe
2207,MLT,Malta,2016,4,AMR Awareness (Human Health),Awareness and Education,139,Malta,Other Europe,Europe
2208,MLT,Malta,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,139,Malta,Other Europe,Europe
2211,MLT,Malta,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,139,Malta,Other Europe,Europe
2212,MLT,Malta,2016,1,Veterinary Services,General,139,Malta,Other Europe,Europe
2213,MLT,Malta,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,139,Malta,Other Europe,Europe
2214,MLT,Malta,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,139,Malta,Other Europe,Europe
2215,MLT,Malta,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,139,Malta,Other Europe,Europe
2216,MLT,Malta,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,139,Malta,Other Europe,Europe
2217,MLT,Malta,2016,4,IPC,Prevention,139,Malta,Other Europe,Europe
2218,MLT,Malta,2016,0,AMU Prevention,Prevention,139,Malta,Other Europe,Europe
2223,MLT,Malta,2016,4,AMS and Regulation (Human),Regulation,139,Malta,Other Europe,Europe
2226,MLT,Malta,2016,0,AMS and Regulation (Ani&Crop),Regulation,139,Malta,Other Europe,Europe
2227,MLT,Malta,2016,0,Contamination Prevention,Regulation,139,Malta,Other Europe,Europe
2228,MMR,Myanmar,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,154,Myanmar,Asia-Pacific,Asia
2229,MMR,Myanmar,2016,2,IPC,Prevention,154,Myanmar,Asia-Pacific,Asia
2230,MMR,Myanmar,2016,0,One Health Arrangements,General,154,Myanmar,Asia-Pacific,Asia
2231,MMR,Myanmar,2016,2,NAP progress,General,154,Myanmar,Asia-Pacific,Asia
2232,MMR,Myanmar,2016,0,NAP published,General,154,Myanmar,Asia-Pacific,Asia
2233,MMR,Myanmar,2016,0,AMR Awareness (Human Health),Awareness and Education,154,Myanmar,Asia-Pacific,Asia
2234,MMR,Myanmar,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,154,Myanmar,Asia-Pacific,Asia
2235,MMR,Myanmar,2016,1,AMR Training (Human Health),Awareness and Education,154,Myanmar,Asia-Pacific,Asia
2236,MMR,Myanmar,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,154,Myanmar,Asia-Pacific,Asia
2237,MMR,Myanmar,2016,3,Veterinary Services,General,154,Myanmar,Asia-Pacific,Asia
2238,MMR,Myanmar,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,154,Myanmar,Asia-Pacific,Asia
2239,MMR,Myanmar,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,154,Myanmar,Asia-Pacific,Asia
2240,MMR,Myanmar,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,154,Myanmar,Asia-Pacific,Asia
2241,MMR,Myanmar,2016,0,Contamination Prevention,Regulation,154,Myanmar,Asia-Pacific,Asia
2243,MMR,Myanmar,2016,1,AMU Prevention,Prevention,154,Myanmar,Asia-Pacific,Asia
2251,MMR,Myanmar,2016,0,AMS and Regulation (Human),Regulation,154,Myanmar,Asia-Pacific,Asia
2252,MMR,Myanmar,2016,0,AMS and Regulation (Ani&Crop),Regulation,154,Myanmar,Asia-Pacific,Asia
2255,MNE,Montenegro,2016,2,One Health Arrangements,General,150,Montenegro,Other Europe,Europe
2256,MNE,Montenegro,2016,2,NAP progress,General,150,Montenegro,Other Europe,Europe
2257,MNE,Montenegro,2016,1,NAP published,General,150,Montenegro,Other Europe,Europe
2258,MNE,Montenegro,2016,3,AMR Awareness (Human Health),Awareness and Education,150,Montenegro,Other Europe,Europe
2259,MNE,Montenegro,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,150,Montenegro,Other Europe,Europe
2263,MNE,Montenegro,2016,3,AMS and Regulation (Human),Regulation,150,Montenegro,Other Europe,Europe
2264,MNE,Montenegro,2016,2,AMS and Regulation (Ani&Crop),Regulation,150,Montenegro,Other Europe,Europe
2265,MNE,Montenegro,2016,1,Contamination Prevention,Regulation,150,Montenegro,Other Europe,Europe
2266,MNE,Montenegro,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,150,Montenegro,Other Europe,Europe
2267,MNE,Montenegro,2016,0,IPC,Prevention,150,Montenegro,Other Europe,Europe
2268,MNE,Montenegro,2016,1,AMU Prevention,Prevention,150,Montenegro,Other Europe,Europe
2272,MNE,Montenegro,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,150,Montenegro,Other Europe,Europe
2273,MNE,Montenegro,2016,1,AMR Training (Human Health),Awareness and Education,150,Montenegro,Other Europe,Europe
2274,MNE,Montenegro,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,150,Montenegro,Other Europe,Europe
2275,MNE,Montenegro,2016,0,Veterinary Services,General,150,Montenegro,Other Europe,Europe
2276,MNE,Montenegro,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,150,Montenegro,Other Europe,Europe
2277,MNE,Montenegro,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,150,Montenegro,Other Europe,Europe
2278,MNG,Mongolia,2016,1,NAP published,General,149,Mongolia,Asia-Pacific,Asia
2279,MNG,Mongolia,2016,1,AMR Awareness (Human Health),Awareness and Education,149,Mongolia,Asia-Pacific,Asia
2283,MNG,Mongolia,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,149,Mongolia,Asia-Pacific,Asia
2284,MNG,Mongolia,2016,2,AMR Training (Human Health),Awareness and Education,149,Mongolia,Asia-Pacific,Asia
2285,MNG,Mongolia,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,149,Mongolia,Asia-Pacific,Asia
2286,MNG,Mongolia,2016,0,Veterinary Services,General,149,Mongolia,Asia-Pacific,Asia
2287,MNG,Mongolia,2016,3,Monitoring System for AMU (Human Health),Monitoring and Surveillance,149,Mongolia,Asia-Pacific,Asia
2288,MNG,Mongolia,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,149,Mongolia,Asia-Pacific,Asia
2289,MNG,Mongolia,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,149,Mongolia,Asia-Pacific,Asia
2290,MNG,Mongolia,2016,1,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,149,Mongolia,Asia-Pacific,Asia
2291,MNG,Mongolia,2016,1,IPC,Prevention,149,Mongolia,Asia-Pacific,Asia
2292,MNG,Mongolia,2016,1,AMU Prevention,Prevention,149,Mongolia,Asia-Pacific,Asia
2293,MNG,Mongolia,2016,0,One Health Arrangements,General,149,Mongolia,Asia-Pacific,Asia
2294,MNG,Mongolia,2016,1,NAP progress,General,149,Mongolia,Asia-Pacific,Asia
2304,MOZ,Mozambique,2016,1,Veterinary Services,General,153,Mozambique,Africa,Africa
2305,MOZ,Mozambique,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,153,Mozambique,Africa,Africa
2306,MOZ,Mozambique,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,153,Mozambique,Africa,Africa
2307,MOZ,Mozambique,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,153,Mozambique,Africa,Africa
2308,MOZ,Mozambique,2016,1,Monitoring System for AMU (Human Health),Monitoring and Surveillance,153,Mozambique,Africa,Africa
2314,MOZ,Mozambique,2016,0,AMS and Regulation (Human),Regulation,153,Mozambique,Africa,Africa
2315,MOZ,Mozambique,2016,2,AMS and Regulation (Ani&Crop),Regulation,153,Mozambique,Africa,Africa
2316,MOZ,Mozambique,2016,1,Contamination Prevention,Regulation,153,Mozambique,Africa,Africa
2317,MOZ,Mozambique,2016,2,IPC,Prevention,153,Mozambique,Africa,Africa
2318,MOZ,Mozambique,2016,1,AMU Prevention,Prevention,153,Mozambique,Africa,Africa
2322,MOZ,Mozambique,2016,1,One Health Arrangements,General,153,Mozambique,Africa,Africa
2323,MOZ,Mozambique,2016,1,NAP progress,General,153,Mozambique,Africa,Africa
2324,MOZ,Mozambique,2016,0,NAP published,General,153,Mozambique,Africa,Africa
2325,MOZ,Mozambique,2016,0,AMR Awareness (Human Health),Awareness and Education,153,Mozambique,Africa,Africa
2326,MOZ,Mozambique,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,153,Mozambique,Africa,Africa
2327,MOZ,Mozambique,2016,0,AMR Training (Human Health),Awareness and Education,153,Mozambique,Africa,Africa
2328,MOZ,Mozambique,2016,1,AMR Training (Animal Health and Food Prod),Awareness and Education,153,Mozambique,Africa,Africa
2333,MUS,Mauritius,2016,1,AMS and Regulation (Human),Regulation,143,Mauritius,Africa,Africa
2334,MUS,Mauritius,2016,1,One Health Arrangements,General,143,Mauritius,Africa,Africa
2335,MUS,Mauritius,2016,3,NAP progress,General,143,Mauritius,Africa,Africa
2336,MUS,Mauritius,2016,0,NAP published,General,143,Mauritius,Africa,Africa
2337,MUS,Mauritius,2016,1,AMR Awareness (Human Health),Awareness and Education,143,Mauritius,Africa,Africa
2338,MUS,Mauritius,2016,1,AMR Awareness (Animal Health and Food Prod),Awareness and Education,143,Mauritius,Africa,Africa
2339,MUS,Mauritius,2016,2,AMR Training (Human Health),Awareness and Education,143,Mauritius,Africa,Africa
2341,MUS,Mauritius,2016,1,Veterinary Services,General,143,Mauritius,Africa,Africa
2342,MUS,Mauritius,2016,2,Monitoring System for AMU (Human Health),Monitoring and Surveillance,143,Mauritius,Africa,Africa
2343,MUS,Mauritius,2016,4,AMS and Regulation (Ani&Crop),Regulation,143,Mauritius,Africa,Africa
2344,MUS,Mauritius,2016,1,Contamination Prevention,Regulation,143,Mauritius,Africa,Africa
2345,MUS,Mauritius,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,143,Mauritius,Africa,Africa
2346,MUS,Mauritius,2016,1,IPC,Prevention,143,Mauritius,Africa,Africa
2347,MUS,Mauritius,2016,1,AMU Prevention,Prevention,143,Mauritius,Africa,Africa
2355,MUS,Mauritius,2016,3,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,143,Mauritius,Africa,Africa
2356,MUS,Mauritius,2016,2,AMR Surveillance System (Humans),Monitoring and Surveillance,143,Mauritius,Africa,Africa
2357,MWI,Malawi,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,134,Malawi,Africa,Africa
2358,MWI,Malawi,2016,1,IPC,Prevention,134,Malawi,Africa,Africa
2359,MWI,Malawi,2016,1,One Health Arrangements,General,134,Malawi,Africa,Africa
2360,MWI,Malawi,2016,0,NAP progress,General,134,Malawi,Africa,Africa
2361,MWI,Malawi,2016,0,NAP published,General,134,Malawi,Africa,Africa
2362,MWI,Malawi,2016,0,AMR Awareness (Human Health),Awareness and Education,134,Malawi,Africa,Africa
2363,MWI,Malawi,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,134,Malawi,Africa,Africa
2364,MWI,Malawi,2016,0,AMR Training (Human Health),Awareness and Education,134,Malawi,Africa,Africa
2365,MWI,Malawi,2016,0,AMR Training (Animal Health and Food Prod),Awareness and Education,134,Malawi,Africa,Africa
2366,MWI,Malawi,2016,0,Veterinary Services,General,134,Malawi,Africa,Africa
2367,MWI,Malawi,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,134,Malawi,Africa,Africa
2368,MWI,Malawi,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,134,Malawi,Africa,Africa
2369,MWI,Malawi,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,134,Malawi,Africa,Africa
2370,MWI,Malawi,2016,1,Contamination Prevention,Regulation,134,Malawi,Africa,Africa
2372,MWI,Malawi,2016,3,AMU Prevention,Prevention,134,Malawi,Africa,Africa
2380,MWI,Malawi,2016,0,AMS and Regulation (Human),Regulation,134,Malawi,Africa,Africa
2382,MYS,Malaysia,2016,3,NAP progress,General,136,Malaysia,Asia-Pacific,Asia
2383,MYS,Malaysia,2016,2,One Health Arrangements,General,136,Malaysia,Asia-Pacific,Asia
2385,MYS,Malaysia,2016,0,NAP published,General,136,Malaysia,Asia-Pacific,Asia
2386,MYS,Malaysia,2016,3,AMR Awareness (Human Health),Awareness and Education,136,Malaysia,Asia-Pacific,Asia
2387,MYS,Malaysia,2016,3,AMR Awareness (Animal Health and Food Prod),Awareness and Education,136,Malaysia,Asia-Pacific,Asia
2388,MYS,Malaysia,2016,3,AMR Training (Human Health),Awareness and Education,136,Malaysia,Asia-Pacific,Asia
2389,MYS,Malaysia,2016,2,AMR Training (Animal Health and Food Prod),Awareness and Education,136,Malaysia,Asia-Pacific,Asia
2390,MYS,Malaysia,2016,1,Veterinary Services,General,136,Malaysia,Asia-Pacific,Asia
2391,MYS,Malaysia,2016,4,Monitoring System for AMU (Human Health),Monitoring and Surveillance,136,Malaysia,Asia-Pacific,Asia
2392,MYS,Malaysia,2016,1,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,136,Malaysia,Asia-Pacific,Asia
2393,MYS,Malaysia,2016,3,AMR Surveillance System (Humans),Monitoring and Surveillance,136,Malaysia,Asia-Pacific,Asia
2394,MYS,Malaysia,2016,3,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,136,Malaysia,Asia-Pacific,Asia
2395,MYS,Malaysia,2016,4,IPC,Prevention,136,Malaysia,Asia-Pacific,Asia
2396,MYS,Malaysia,2016,2,AMU Prevention,Prevention,136,Malaysia,Asia-Pacific,Asia
2403,MYS,Malaysia,2016,4,AMS and Regulation (Human),Regulation,136,Malaysia,Asia-Pacific,Asia
2405,MYS,Malaysia,2016,3,Contamination Prevention,Regulation,136,Malaysia,Asia-Pacific,Asia
2406,MYS,Malaysia,2016,2,AMS and Regulation (Ani&Crop),Regulation,136,Malaysia,Asia-Pacific,Asia
2410,NER,Niger,2016,1,AMR Surveillance System (Humans),Monitoring and Surveillance,163,Niger,Africa,Africa
2411,NER,Niger,2016,0,One Health Arrangements,General,163,Niger,Africa,Africa
2412,NER,Niger,2016,0,NAP progress,General,163,Niger,Africa,Africa
2413,NER,Niger,2016,0,NAP published,General,163,Niger,Africa,Africa
2414,NER,Niger,2016,0,AMR Awareness (Human Health),Awareness and Education,163,Niger,Africa,Africa
2415,NER,Niger,2016,0,AMR Awareness (Animal Health and Food Prod),Awareness and Education,163,Niger,Africa,Africa
2416,NER,Niger,2016,2,AMR Training (Human Health),Awareness and Education,163,Niger,Africa,Africa
2417,NER,Niger,2016,3,AMR Training (Animal Health and Food Prod),Awareness and Education,163,Niger,Africa,Africa
2418,NER,Niger,2016,1,Veterinary Services,General,163,Niger,Africa,Africa
2419,NER,Niger,2016,0,Monitoring System for AMU (Human Health),Monitoring and Surveillance,163,Niger,Africa,Africa
2420,NER,Niger,2016,0,Monitoring System for AMU (Animals and Crop),Monitoring and Surveillance,163,Niger,Africa,Africa
2421,NER,Niger,2016,0,AMS and Regulation (Human),Regulation,163,Niger,Africa,Africa
2422,NER,Niger,2016,2,AMS and Regulation (Ani&Crop),Regulation,163,Niger,Africa,Africa
2423,NER,Niger,2016,0,AMR Surveillance System (Animals and Foods),Monitoring and Surveillance,163,Niger,Africa,Africa
